		2019-01-02	Środa	Pływanie	60	90									1800	Technika	Bardzo lekko czuję lewą stopę, po fizjo już prawie nic, dobre czucie wody, Rehabilitacja #8 	https://connect.garmin.com/modern/activity/3265563664
		2019-04-20	Sobota	Rower	220	60	144	171	88	264		245,9	1770	29,7	108	Ostry Kamień		https://connect.garmin.com/modern/activity/3574120482	https://www.strava.com/activities/2305149290
		2019-04-21	Niedziela	Bieganie	45	40	143	150					52	04:44	9.4	Tlen 9km	Na początku czuję stopę, potem już odpuszcza, wieczorem czuję mocniej stopę.	https://connect.garmin.com/modern/activity/3576313078	
		2019-04-22	Poniedziałek	Rower	85	60	118	132	87	192		49,1	315	29,3	40	Regeneracja		https://connect.garmin.com/modern/activity/3580412081	https://www.strava.com/activities/2310308542
		2019-04-23	Wtorek	Siłownia	60											Core + stabilizacja + łydki			
		2019-04-23	Wtorek	Pływanie	60										1700	Technika		https://connect.garmin.com/modern/activity/3583271949
		2019-04-23	Wtorek	Bieganie	45	60	131	147					6	05:17	8.5	Nowe wkładki - test - 4 x ( 2km po 4:30-4:45 / 3min marsz)		https://connect.garmin.com/modern/activity/3584120783	
		2019-04-24	Środa	Rower	90	60	137	172	87	295		112	787	26,6	39	Wytrzymałość siłowa 4 strefa 6x6min, podjazdy pod zoo	Lepiej niż ostatnio, wyższa moc, czuję sie lepiej. Suma interwałów: 37min, HR/W: 154/345, 159/355, 160/352, 161/352, 163/356, 163/352	https://connect.garmin.com/modern/activity/3586568536	https://www.strava.com/activities/2315553452
		2019-04-25	Czwartek	Rower	80	50	145	165	90	279		90	51	33,5	43	Sweet spot - 2x20min	Czuję nogi po wczoraj, HR/W: 157/315, 160/315, nadal wysokie tętno	https://connect.garmin.com/modern/activity/3589466634	https://www.strava.com/activities/2317971302
		2019-04-25	Czwartek	Siłownia	70											Ręce + Core + stabilizacja + łydki	Czuję stopę po rowerze		
		2019-04-26	Piątek	Rower	240	60	147	174	87	251		242,6	1676	29,8	118	Górki	Gorąco, nogi mocno zmęczone, wysokie tętno, mega skurcze	https://connect.garmin.com/modern/activity/3592525972	https://www.strava.com/activities/2320493082
		2019-04-27	Sobota	Bieganie	45	60	120	136					52	05:29	8.2	Nowe wkładki - test - 4 x ( 7min trucht / 2min marsz)	Podczas biegania bardzo lekko czuję stopę	https://connect.garmin.com/modern/activity/3595651346	
		2019-04-27	Sobota	Pływanie	65	30									1400	50x25m - 30s + technika		https://connect.garmin.com/modern/activity/3596339278	
		2019-04-28	Niedziela	Siłownia	50											Nogi + stabilizacja			
		2019-04-28	Niedziela	Pływanie	70	50								02:02	2600	CSS - 8x200m/20s @1:47	Zmęczony po siłce, lepiej niż ostatnio	https://connect.garmin.com/modern/activity/3599232867	
		2019-04-29	Poniedziałek	Rower	70	40	136	176	85	293		92,1	424	30,4	33.6	Zakładka - 4x4 VO2max	HR/W: 157/390, 161/396, 162/396, 163/390	https://connect.garmin.com/modern/activity/3601593096	https://www.strava.com/activities/2328062094
		2019-04-29	Poniedziałek	Bieganie	30		130	141					30	05:23	5.6	Zakładka - Nowe wkładki - test - 3 x ( 8 min trucht / 2min marsz)		https://connect.garmin.com/modern/activity/3601683111	
		2019-04-30	Wtorek	Siłownia	45											Core + stabilizacja			
		2019-04-30	Wtorek	Pływanie	50	60									1800	20x50m - 60s + technika		https://connect.garmin.com/modern/activity/3605090885	
		2019-05-01	Środa	Rower	215	30	147	170	89	276		264,9	1811	31,1	111	Górki		https://connect.garmin.com/modern/activity/3607996622	https://www.strava.com/activities/2333448778
		2019-05-02	Czwartek	Rower	140	20	139	164	86	259		150,6	1008	29,6	68	Górki	Nogi mocno zakwaszone, ciężko wejść na wysokie obroty	https://connect.garmin.com/modern/activity/3610674675	https://www.strava.com/activities/2335735823
		2019-05-02	Czwartek	Siłownia	60											Ręce + core + stabilizacja			
		2019-05-02	Czwartek	Pływanie	50	50									1500	Technika		https://connect.garmin.com/modern/activity/3612329834	
		2019-05-03	Piątek	Bieganie	45	20	124	138					35	05:30	8.2	Nowe wkładki - test - 3 x ( 8 min trucht / 2min marsz)		https://connect.garmin.com/modern/activity/3613618352	
		2019-05-04	Sobota	Rower	75		143	170	89	295		102,6	548	31,2	38	Zakładka - Wytrzymałość siłowa 4 strefa 6x6min, podjazdy	Lepiej niż ostatnio, wyższa moc, czuję sie lepiej. Suma interwałów: 36min, HR/W: 158/341, 160/346, 160/346, 160/350, 160/352, 161/355	https://connect.garmin.com/modern/activity/3616401176	https://www.strava.com/activities/2340426924
		2019-05-04	Sobota	Bieganie	45	30	132	141					18	05:13	5.9	Zakładka - Nowe wkładki - test - 5 x ( 8 min trucht / 2min marsz)		https://connect.garmin.com/modern/activity/3616400883	
		2019-05-07	Wtorek	Pływanie	60										2100	CSS - 8x200m/20s @1:47	Dobry trening, z zapasem, przerwy wreszcie po 20s	https://connect.garmin.com/modern/activity/3626408799
		2019-05-07	Wtorek	Siłownia	50	20										Nogi + stablizacja			
		2019-05-07	Wtorek	Bieganie	30	50	139	144					9	05:06	5.9	Trucht 30min	Zmęczone nogi po siłce, wysokie tętno	https://connect.garmin.com/modern/activity/3626710892	
		2019-05-08	Środa	Rower	75	50	115	128	90	181		39,5	160	29,5	36.7	Regeneracja		https://connect.garmin.com/modern/activity/3629854410	https://www.strava.com/activities/2351636967
		2019-05-09	Czwartek	Siłownia	80	60										Ręce + core + stabilizacja			
		2019-05-10	Piątek	Bieganie	40	20	140	145					4	04:59	8	Trucht 40min		https://connect.garmin.com/modern/activity/3634613643	
		2019-05-10	Piątek	Góry	80								182		6	Tatry - Hala Ornak		https://connect.garmin.com/modern/activity/3643003791	https://www.strava.com/activities/2362768363
		2019-05-11	Sobota	Góry	190	40							477		9.6	Tatry - Polana na Stołach	Mocno czuję stopę pod koniec	https://connect.garmin.com/modern/activity/3643003956	https://www.strava.com/activities/2362768311
		2019-05-12	Niedziela	Bieganie	50	60	139	144					12	04:55	10.2	Trucht 50min		https://connect.garmin.com/modern/activity/3643004053	
		2019-05-13	Poniedziałek	Rower	75		138	181	89	293		90	434	24,9	30	Zakładka - 4x4 VO2max	Nogi wypoczęte, czuję moc w nogach, HR/W: 162/401, 167/403, 167/404, 169/402	https://connect.garmin.com/modern/activity/3645044023	https://www.strava.com/activities/2364394882
		2019-05-13	Poniedziałek	Bieganie	40	50	141	147					4	04:37	8.5	Zakładka - tlen	Dobre bieganie, niskie tętno, w ogóle nie czuję stopy	https://connect.garmin.com/modern/activity/3645043325	
		2019-05-14	Wtorek	Pływanie	55										1700	25x50m - 60s		https://connect.garmin.com/modern/activity/3647920998	
		2019-05-14	Wtorek	Siłownia	60	50										Nogi + stabilizacja			
		2019-05-15	Środa	Pływanie	60										1900	CSS - 8x200m/20s @1:47		https://connect.garmin.com/modern/activity/3650771023	
		2019-05-15	Środa	Siłownia	50	50										Core + stabilizacja			
		2019-05-16	Czwartek	Bieganie	40		142	158					2	04:35	8.1	Rytmy - 8x100m/100m	Niskie tętno, tlen po 4:30. Lekko czuję stopę przy rytmach	https://connect.garmin.com/modern/activity/3654298054	
		2019-05-16	Czwartek	Siłownia	60	60										Ręce + core + stabilizacja	Mocno czuję stopę po bieganiu wieczorem		
		2019-05-17	Piątek	Rower	100	30	145	177	88	294		135	936	26,6	43	Wytrzymałość siłowa 4 strefa 7x6min, podjazdy pod zoo	Czuję moc w nogach, mocniejsze łydki, ale wysokie tętno, suma interwałów: 42min, HR/W: 160/346, 162/351, 163/352, 165/356, 166/355, 165/353, 167/366	https://connect.garmin.com/modern/activity/3656998729	https://www.strava.com/activities/2374611074#comments
		2019-05-18	Sobota	Rower	60							25			26	Rege z Szymkiem			
		2019-05-18	Sobota	Bieganie	60	50	144	149					4	04:33	13.2	Tlen - 13km	Obtarł mnie but	https://connect.garmin.com/modern/activity/3660857866	
		2019-05-19	Niedziela	Rower	225	40	143	171	89	274		271,9	1830	29.8	111	Górki	Troszkę czuję nogi po bieganiu, ale ogólnie noga mocna	https://connect.garmin.com/modern/activity/3663062720	https://www.strava.com/activities/2379641359
		2019-05-19	Niedziela	Pływanie	40										1100	Technika		https://connect.garmin.com/modern/activity/3665110715	
		2019-05-20	Poniedziałek	Rower	75		117	134	89	164		30	40	30,8	35	Zakładka - Regeneracja		https://connect.garmin.com/modern/activity/3667098526	https://www.strava.com/activities/2382995237
		2019-05-20	Poniedziałek	Bieganie	45	;40	140	161					83	04:53	9	Zakładka - Rozruch 8km tlen + sila biegowa z podbiegami 8x(50m skipingi+100 podbieg)	Mocno obtarta stopa	https://connect.garmin.com/modern/activity/3667122618	
		2019-05-21	Wtorek	Rower	70	60	143	161	86	276		86	41	35,6	41	Czasówka - Sweet spot - 2x20min	Rehabilitacja, HR/W: 154/311, 157/316	https://connect.garmin.com/modern/activity/3669126817	https://www.strava.com/activities/2384721722
		2019-05-21	Wtorek	Pływanie	60										1800	25x50m na 60s		https://connect.garmin.com/modern/activity/3670160391	
		2019-05-21	Wtorek	Siłownia	60	40										Nogi + stabilizacja			
		2019-05-22	Środa	Pływanie	65										2100	CSS - 5x(200m + 100m) / 10s	Słaby trening	https://connect.garmin.com/modern/activity/3673217555	
		2019-05-23	Czwartek	Pływanie	60										2200	CSS - 4x400m / 40s	Życiówka interwały 400m	https://connect.garmin.com/modern/activity/3675680176	
		2019-05-23	Czwartek	Siłownia	60											Ręce + core			
		2019-05-23	Czwartek	Bieganie	40	60	140	156					6	04:31	8.7	Rytmy - 8x100m/100m	Niskie tętno	https://connect.garmin.com/modern/activity/3676784272	
		2019-05-24	Piątek	Rower	100	40	141	175	85	283		124	942	26,2	44.4	Czasówka - Wytrzymałość siłowa 4 strefa 7x6min, podjazdy pod zoo	Suma interwałów: 43min, HR/W: 158/340, 161/343, 163/344, 163/340, 163/342, 163/340, 164/344	https://connect.garmin.com/modern/activity/3679688793	https://www.strava.com/activities/2393691846
		2019-05-25	Sobota	Rower	60		140	155	87	253		57	136	36	34.4	Zakładka - tempo - czasówka		https://connect.garmin.com/modern/activity/3683069933	https://www.strava.com/activities/2396548730
		2019-05-25	Sobota	Bieganie	60	60	153	163					8	04:07	13.5	Zakładka - tempo 	Dobre tempo zaraz po rowerze	https://connect.garmin.com/modern/activity/3683084508	
		2019-05-26	Niedziela	Rower	210	40	138	163	85	247		200	1583	30,8	106.6	Czasówka - Górki	Mega zmęczone nogi po bieganiu	https://connect.garmin.com/modern/activity/3685310169	https://www.strava.com/activities/2398438874
		2019-05-27	Poniedziałek	Siłownia	70	60										Nogi + stabilizacja
		2019-05-28	Wtorek	Pływanie	65										2000	26x50m na 60s	Dobre tempo, najlepiej do tej pory	https://connect.garmin.com/modern/activity/3691678473	
		2019-05-28	Wtorek	Bieganie	50	70	144	171					115	05:10	10	Zakładka - Rozruch 5km tlen + sila biegowa z podbiegami 8x(50m skipingi+100 podbieg)	Ciepło, zmęczone nogi	https://connect.garmin.com/modern/activity/3691921577	
		2019-05-30	Czwartek	Pływanie	65										2200	CSS - 4x400m / 40s	Życiówka interwały 400m	https://connect.garmin.com/modern/activity/3697738054	
		2019-05-30	Czwartek	Bieganie	45		141	157					12	04:37	9	Rytmy - 10x100m/100m		https://connect.garmin.com/modern/activity/3699192789	
		2019-05-30	Czwartek	Siłownia	60	60										Ręce + core + stabilizacja			
		2019-05-31	Piątek	Rower	65	10	139	178	89	299		82,1	566	26,5	28	4x4 VO2max	KOM, Suma interwałów: 21min, HR/W: 163/395, 167/397, 169/388, 169/381	https://connect.garmin.com/modern/activity/3701422708	https://www.strava.com/activities/2411788849
		2019-06-01	Sobota	Pływanie	45										1500	Test na 1000m	Życiówka - słaby dzień - 17'25	https://connect.garmin.com/modern/activity/3704404347	
		2019-06-01	Sobota	Bieganie	60		152	169					17	04:19	14	2km+3x3km(tempo 3.50-55)/1km truchtu	Dobry i mocny trening	https://connect.garmin.com/modern/activity/3705507168	
		2019-06-03	Poniedziałek	Pływanie	55										2000	CSS - 8x200m/20s @1:45	Najszybsze interwały 200m	https://connect.garmin.com/modern/activity/3711219495
		2019-06-03	Poniedziałek	Rower	80	30	139	171	87	292		98,7	788	25,7	35	Wytrzymałość siłowa 4 strefa 6x6min, podjazdy pod zoo	Dużo niższe tętno, wyższa moc, Suma interwałów: 38min, HR/W: 156/347, 158/359, 159/353, 159/351, 161/ 351, 161/350	https://connect.garmin.com/modern/activity/3711539224	https://www.strava.com/activities/2420224646
		2019-06-04	Wtorek	Pływanie	55										1700	12x100m / 20s	Szybkie, równe tempo	https://connect.garmin.com/modern/activity/3714578720	
		2019-06-04	Wtorek	Bieganie	40	50	144	166					2	04:41	9	Rozruch 4km+8x300(tempo 3.10-15)/1,5min (trucht 1min+30sek marsz)	Bardzo słaby dzień, nie czuję mocy w nogach	https://connect.garmin.com/modern/activity/3714579690	
		2019-06-06	Czwartek	Góry	60								103		4.2	Dolomity - Pisciadu		https://connect.garmin.com/modern/activity/3721384529	https://www.strava.com/activities/2428443276
		2019-06-06	Czwartek	Bieganie	70	20	159	173					594	05:48	12	Bieganie po górach - Passo Gardena	Bardzo trudne, techniczne bieganie - śnieg, mokro, kamienie	https://connect.garmin.com/modern/activity/3721689049	https://www.strava.com/activities/2428707653
		2019-06-07	Piątek	Rower	140	25	144	166	85	265		138,5	1746	22,5	52	Sella Ronda	Nogi mega zmęczone po wczorajszym bieganiu	https://connect.garmin.com/modern/activity/3724517026	https://www.strava.com/activities/2431071088
		2019-06-08	Sobota	Góry	170	20							528		11	Dolomity - Pralongia		https://connect.garmin.com/modern/activity/3728544114	https://www.strava.com/activities/2434411132
		2019-06-08	Niedziela	Rower	225	10	140	164	86	259		214,4	2686	23,7	88	Passo Giau		https://connect.garmin.com/modern/activity/3731050518	https://www.strava.com/activities/2436551274
		2019-06-09	Niedziela	Góry	90								253		5	Dolomity - Passo di Gardena		https://connect.garmin.com/modern/activity/3731081270	https://www.strava.com/activities/2436577767
		2019-06-09	Niedziela	Bieganie	50	20	140	162					326	05:33	9,2	Rozruch 5km tlen + sila biegowa z podbiegami 10x(50m skipingi+100 podbieg)	Ciężko wyjść na wysokie obroty	https://connect.garmin.com/modern/activity/3732043527	https://www.strava.com/activities/2437427425
		2019-06-10	Poniedziałek	Góry	90	10							285		4.7	Dolomity - La Crusc		https://connect.garmin.com/modern/activity/3735305300	https://www.strava.com/activities/2439979567
		2019-06-10	Poniedziałek	Siłownia	40											Core + ręce			
		2019-06-11	Wtorek	Rower	100	10	141	165	90	276		107,5	1269	23,4	38.5	Passo di Gardena x2		https://connect.garmin.com/modern/activity/3736495469	https://www.strava.com/activities/2440975930
		2019-06-11	Wtorek	Góry	120								476		6	Dolomity - Lech de Boe		https://connect.garmin.com/modern/activity/3737685520	https://www.strava.com/activities/2441906955
		2019-06-11	Wtorek	Bieganie	75	25	154	169					651	05:53	12.5	Bieganie po górach	KOM	https://connect.garmin.com/modern/activity/3738475550	https://www.strava.com/activities/2442581852
		2019-06-13	Czwartek	Rower	140	10	141	165	89	270		143,6	1809	23,2	53	Sella Ronda		https://connect.garmin.com/modern/activity/3742772616	https://www.strava.com/activities/2446149651
		2019-06-13	Czwartek	Góry	130	10							425		5	Dolomity - Forcella Cier		https://connect.garmin.com/modern/activity/3744842441	https://www.strava.com/activities/2447816486
		2019-06-14	Piątek	Rower	140	10	137	161	90	266		136,2	1583	25,1	56	Passo Valpalora		https://connect.garmin.com/modern/activity/3745783354	https://www.strava.com/activities/2448612184
		2019-06-15	Sobota	Bieganie	60	20	153	176					110	05:12	10.2	Rozruch 5km tlen + sila biegowa z podbiegami 10x(50m skipingi+100 podbieg)	Mega gorąco (+35)	https://connect.garmin.com/modern/activity/3749420609	
		2019-06-15	Sobota	Pływanie	45										1500	10x100m / 20s		https://connect.garmin.com/modern/activity/3750232029	
		2019-06-16	Niedziela	Rower	70	10	153	171	89	288		83,4	219	35,4	42	Czasówka- Wytrzymałość siłowa - 4*10-12min @330-340W / 3min	KOM, Gorąco (+30) i w samo południe, suma interwałów: 42min, HR/W: 160/338, 163/329, 164/335, 165/320, czuję stopę	https://connect.garmin.com/modern/activity/3752922529	https://www.strava.com/activities/2454583125
		2019-06-16	Niedziela	Bieganie	75	20	144	149					10	04:21	16	Tlen - 16km	Czuję stopę na całym dystansie	https://connect.garmin.com/modern/activity/3754622703	
		2019-06-17	Poniedziałek	Pływanie	35										1100	Technika		https://connect.garmin.com/modern/activity/3757699887
		2019-06-17	Poniedziałek	Siłownia	50	30										Nogi			
		2019-06-19	Środa	Pływanie	60	20									2100	CSS - 8x200m/20s @1:45	Wolniej niż ostatnio	https://connect.garmin.com/modern/activity/3762676142	
		2019-06-20	Czwartek	Rower	90		135	149	92	254		81,5	523	34,3	50	Zakładka - lemondka - tlen		https://connect.garmin.com/modern/activity/3766136238	https://www.strava.com/activities/2465467352
		2019-06-20	Czwartek	Bieganie	50	10	147	171					192	04:58	9	Zakładka - Rozruch 5km tlen + sila biegowa z podbiegami 10x(50m skipingi+100 podbieg)	Gorąco, tlen po górkach @4:20	https://connect.garmin.com/modern/activity/3766125940	
		2019-06-20	Czwartek	Siłownia	45	20										Ręce + core + łydki			
		2019-06-21	Piątek	Pływanie	60	30									1900	Technika + interwały po 100m/50m @1:40	Słaby dzień, czuję stopę	https://connect.garmin.com/modern/activity/3769719282	
		2019-06-22	Sobota	Pływanie	15	30									600	Rege		https://connect.garmin.com/modern/activity/3776291852	
		2019-06-23	Niedziela	Rower	110	20	150	174	88	298		138,1	1070	31,3	56	Tempo - lemondka - test przed Oravaman	Mocna noga, duża rezerwa, dobry trening, KOM, 2nd overall	https://connect.garmin.com/modern/activity/3775924935	https://www.strava.com/activities/2473769766/segments/62288085361
		2019-06-23	Niedziela	Bieganie	75	30	148	169					16	04:26	17	BS 2km +4x1200(tempo 3.40-45)/1min odpoczynku w marszu+5km BS po 4.30+2x1200(tempo 3.40-45)/1min odpoczynku w marszu +2km BS	Pierwsze 4 interwały na sporej rezerwie, super mi się biegało, potem 5km tlenu z bólem stopy, ostatnie 2 interwały już ciężko.	https://connect.garmin.com/modern/activity/3777731345	
		2019-06-24	Poniedziałek	Rower	65	30	115	127	87	172		27,3	34	30,3	33	Czasówka - regeneracja		https://connect.garmin.com/modern/activity/3779848225
		2019-06-25	Wtorek	Rower	75		150	174	85	293		86,5	28	35,1	41	Zakładka - Czasówka- Wytrzymałość siłowa - 4*10min @330-340W / 3min	Gorąco (+32), w pełnym słońcu, suma interwałów: 40min, HR/W: 158/336, 162/335, 163/340, 167/340	https://connect.garmin.com/modern/activity/3782799969	www.strava.com/activities/2479417278
		2019-06-25	Wtorek	Bieganie	40	20	156	166					6	04:12	9	Zakładka - tempo	Wysokie tętno, gorąco (+32)	https://connect.garmin.com/modern/activity/3782810489	
		2019-06-25	Wtorek	Siłownia	50	25										Core + łydki			
		2019-06-26	Środa	Pływanie	60										2100	CSS - 8x200m/20s @1:45	Raczej słaby dzień	https://connect.garmin.com/modern/activity/3787265242	
		2019-06-27	Czwartek	Rower	70	10	139	174	85	304		90,4	540	27,2	31	Lemondka - 4x5min VO2max	Gorąco (+30), suma interwałów: 20min, HR/W: 160/397, 163/402, 163/394, 161/410	https://connect.garmin.com/modern/activity/3788530544	https://www.strava.com/activities/2484342165
		2019-06-27	Czwartek	Bieganie	50	25	142	168						04:33	10.7	Rozruch 2-3km+4x200/200+2x400/400+1x800(tempo 3.20-25)/400+2x400/400+3x200/200+2-3km bieg spokojny	Nogi mocno zmęczone po rowerze	https://connect.garmin.com/modern/activity/3789994772	
		2019-06-28	Piątek	Pływanie	70										1900	Technika + mocne akcenty 100m		https://connect.garmin.com/modern/activity/3791927531	
		2019-06-29	Sobota	Pływanie	40										1200	VO2max - 6x100m + 3x50m / 25s	Najszybsze interwały 100m i 50m 	https://connect.garmin.com/modern/activity/3794997473	
		2019-06-29	Sobota	Rower	30	10	124	155	82	246		24,1	38	30,9	15	Czasówka - Rozruch		https://connect.garmin.com/modern/activity/3796129092	
		2019-06-30	Niedziela	Pływanie	40									01:55	1700	Frydman	Bardzo słabe pływanie	https://connect.garmin.com/modern/activity/3799100554/1	
		2019-06-30	Niedziela	Rower	80		160	171	89	284		77,3	490	35,8	40	Frydman	Gorąco (+30), rower przyzwoity (2 czas zawodów)	https://connect.garmin.com/modern/activity/3799082433	https://www.strava.com/activities/2492851991
		2019-06-30	Niedziela	Bieganie	50		162	171					41	04:12	10	Frydman	4 open, gorąco, odpuściłem bieg po tym, jak wybiegł mi pies i stracilem 80s - powinienem być co najmniej 3	https://connect.garmin.com/modern/activity/3799100554/5	
		2019-07-01	Poniedziałek	Rower	65		107	118	85	157		22,6	50	27,4	29	Lemondka - Regeneracja	Gorąco (+35)	https://connect.garmin.com/modern/activity/3801836668
		2019-07-01	Poniedziałek	Siłownia	55	45										Core + stabilizacja + łydki			
		2019-07-02	Wtorek	Pływanie	60										1900	CSS - 7x200m/20s @1:45	Najszybsze interwały 200m	https://connect.garmin.com/modern/activity/3805238631	
		2019-07-02	Środa	Rower	130	10	141	169	89	301		161,8	1315	27,4	57	Lemondka - wytrzymałość siłowa 4 strefa 10x6min, podjazdy pod zoo	HR/W: 152/346, 155/351, 156/ 352, 156/351, 157/350, 158/352, 159/353, 159/352, 159/352, 160/359	https://connect.garmin.com/modern/activity/3808328232	https://www.strava.com/activities/2500772495
		2019-07-03	Środa	Bieganie	75	15	142	159					2	04:28	16	Bieg spokojny 12-14km w tlenie+ rytmy 6-7x150/150	Trochę czuję nogi po rowerze, czuję stopę, tlen 4:24	https://connect.garmin.com/modern/activity/3809382804	
		2019-07-04	Czwartek	Pływanie	50										1500	Technika		https://connect.garmin.com/modern/activity/3811828616	
		2019-07-05	Piątek	Rower	75	10	146	170	88	302		97,2	58	35,7	44	Zakładka - Lemondka - Wytrzymałość siłowa - 4*10min @340-350W / 3min	Trochę czuję nogi, HR/W: 157/346, 160/348, 161/346, 161/349	https://connect.garmin.com/modern/activity/3814863830	https://www.strava.com/activities/2506386853
		2019-07-05	Piątek	Bieganie	55	70	148	169					131	04:57	10.6	Zakładka - Rozruch 5km tlen + sila biegowa z podbiegami 10x(50m skipingi+100 podbieg)	W ogóle nie czuję stopy podczas biegania, wieczorem mocno czuję stopę po bieganiu	https://connect.garmin.com/modern/activity/3814863135	
		2019-07-06	Sobota	Pływanie	50										1700	12x100m / 20s	Bardzo szybkie i równe tempo	https://connect.garmin.com/modern/activity/3817513575	
		2019-07-07	Niedziela	Bieganie	80	30	155	172					475	04:29	16.6	Lasek wolski 14-16km w II zakresie( granica progu anaerobowego) 	Bardzo dobre, szybkie bieganie z rezerwą	https://connect.garmin.com/modern/activity/3822203701	https://www.strava.com/activities/2512722435
		2019-07-08	Poniedziałek	Pływanie	45	40									1500	Technika		https://connect.garmin.com/modern/activity/3824751455
		2019-07-09	Wtorek	Rower	60	10	135	178	85	289		72	400	25,9	26	Lemondka - VO2max - 3x4min + 2min + 5x30s	Lekko chory - boli mnie brzuch, zatkane ucho i bardzo osłabiony, suma interwałów: 16min, HR/W: 158/395, 162/400, 164/397, 160/395	https://connect.garmin.com/modern/activity/3827652551	https://www.strava.com/activities/2517379593
		2019-07-09	Wtorek	Bieganie	45	40	144	164					2	04:22	10	Bieg spokojny 4km+7-8x500(tempo 3.35-40 nie szybciej)/1min odpoczynku w truchcie lub marszu 	Lekko chory - boli mnie brzuch, zatkane ucho i bardzo osłabiony	https://connect.garmin.com/modern/activity/3828366149	
		2019-07-10	Środa	Pływanie	50	60									1900	CSS - 4x400m / 40s	Słaby dzień	https://connect.garmin.com/modern/activity/3830372401	
		2019-07-12	Piątek	Rower	30		124	165	84	249		23,9	151	26,1	12	Rozruch		https://connect.garmin.com/modern/activity/3837046744	
		2019-07-13	Sobota	Pływanie	50									01:52	2000	Oravaman	Bardzo słabe pływanie		
		2019-07-13	Sobota	Rower	170		151	168	89	287		198,6	1855	30,7	86	Oravaman	Wypadek, 3 czas roweru, 5 open	https://connect.garmin.com/modern/activity/3840695279	https://www.strava.com/activities/2528417793
		2019-07-13	Sobota	Bieganie	140	10									20	Oravaman	Problem z wkładkami, musiałem wyjąć, 5 open		
		2019-07-15	Poniedziałek	Góry	90	70							471		5	Tatry - Brestova		https://connect.garmin.com/modern/activity/3848815470	https://www.strava.com/activities/2535157280
		2019-07-17	Środa	Rower	60	80	111	126	87	169		22,7	98	28,9	27	Regeneracja	Fizjoterapia	https://connect.garmin.com/modern/activity/3854259411	https://www.strava.com/activities/2539755281
		2019-07-18	Czwartek	Bieganie	45	30	131	137					4	04:52	8.8	Regeneracja na 130		https://connect.garmin.com/modern/activity/3858911395	
		2019-07-19	Piątek	Pływanie	50										1600	Technika		https://connect.garmin.com/modern/activity/3860616587	
		2019-07-20	Sobota	Rower	100	10	156	171	87	294		131,4	22	36,6	59	Czasówka- Wytrzymałość siłowa (tempo) - 3*20min @315-325W / 5min	Bardzo wysokie tętno, ale czuję moc w nogach, raczej nie tak ciężko, HR/W: 161/316, 165/321, 166/326	https://connect.garmin.com/modern/activity/3863443637	https://www.strava.com/activities/2547263494
		2019-07-21	Niedziela	Bieganie	50		158	171					62	04:19	11.7	rozruch 3km i mocniejsze 8-10km po 4-4.10	Gorąco (+30), w samo południe, bardzo ciężki trening, nie czuję w ogóle siły w nogach, tętno bardzo wysokie	https://connect.garmin.com/modern/activity/3867063493	
		2019-07-21	Niedziela	Pływanie	65	50									2500	9*200m /35s - M3	Dobre, lekkie pływanie	https://connect.garmin.com/modern/activity/3868517331	
		2019-07-23	Wtorek	Pływanie	60										2100	CSS - 8x200m/20s @1:45	Dobre, równe tempo, krótkie przerwy	https://connect.garmin.com/modern/activity/3873877314
		2019-07-23	Wtorek	Rower	75		145	165	85	308		111,8	22	35,2	44.5	Czasówka - zakładka - Wytrzymałość siłowa - 4*10min @340-350W / 3min	Dobry trening, czuję moc w nogach, najlepsze interwały na czasówce, HR/W: 158/353, 158/355, 159/355, 159/360	https://connect.garmin.com/modern/activity/3874800859	https://www.strava.com/activities/2556610001
		2019-07-23	Wtorek	Bieganie	60	10	148	151					12	04:21	14	Zakładka - BS (bieg spokojny)  12-14km po 4.30-35	Po rowerze bardzo szybko i lekko mi się biegnie, więc tempo dużo szybsze od zakładanego, pierwsze 7km w tempie 4:15, potem czuć, że brakuje węgli w nogach :) Drugie 7km tempo 4:27 na tym samym tętnie	https://connect.garmin.com/modern/activity/3874803414	
		2019-07-23	Wtorek	Siłownia	45	45										Nogi + stablizacja
		2019-07-24	Środa	Pływanie	50										1800	12x100m / 20s < 1:40	Słaby dzień	https://connect.garmin.com/modern/activity/3878194827	
		2019-07-25	Czwartek	Rower	105	10	147	162	87	297		126	26	37	61	Czasówka- Wytrzymałość siłowa (tempo) - 3*20min @325-330W / 5min	Gorąco (+29), dużo niższe tętno niż ostatnio, najlepsze interwały tempo na czasówce, HR/W: 154/326, 157/326, 158/330	https://connect.garmin.com/modern/activity/3881432330	https://www.strava.com/activities/2562130173
		2019-07-25	Czwartek	Bieganie	65	25	147	171					6	04:32	14	Rozruch 3km+ 2x1600(tempo 3.35-40)+3x800(tempo 3.30-35)+3x400(tempo 3.20-25), wszystko na 2min przerwach, 2-3km BS	Mocno czuję nogi po rowerze, na ostatnim interwale czuję lekko stopę	https://connect.garmin.com/modern/activity/3882253708	
		2019-07-26	Piątek	Pływanie	60										2400	19x100m / 10s - 1:46	Średnie tempo <1:46 - najszybsze interwały w tempie startowym na 10s	https://connect.garmin.com/modern/activity/3884566340	
		2019-07-26	Piątek	Siłownia	45	65										Ręce + core
		2019-07-27	Sobota	Bieganie	75	25	154	172					82	04:18	17	BS 3km+2x4-5rv(tempo 3.45-50)/1km truchtu+3km BS po 4/40-45	Wysokie tętno	https://connect.garmin.com/modern/activity/3886858930	
