		2023-01-02	Poniedziałek	Bieganie	60	90	149	179					7	04:38	11.4	bs 3km+ rytmy (najlepiej stadion) 4x200/200+ 2x400(tempo 3.10-20)/400 w truchcie+1x800(tempo 3.20-25)/400 w truchcie+2x400/400+2-4x200/200+2km schłodzenia, REHABILITACJA - pachwina	Bardzo wysokie tętno, ale trzymam tempo, 200m w 35s, 400m w 1:16
		2023-06-20	Poniedziałek	Siłownia	45	140										Ręce + core	Boli mnie lewa stopa, REHABILITACJA - stopa
		2023-06-20	Wtorek	Rower	100	20	128	146	83	239		74	867	24,3	37	Tlen - 7 x Zoo	Gorąco +30, nadal czuję lewą stopę cały czas na rowerze, jest tylko trochę lepiej niż wczoraj	
		2023-06-21	Środa	Siłownia	55	10										Ręce + core	Nadal czuję lewą stopę, jest tylko trochę lepiej	
		2023-06-22	Czwartek	Rower	110	100	132	150	84	249		90	1039	24,6	41	Tlen - 9 x Zoo	Gorąco +30, nadal czuję lewą stopę cały czas na rowerze, jest tylko trochę lepiej niż wczoraj	
		2023-06-25	Niedziela	Rower	110		107	140	66	112		21	433	15	28	Z Szymkiem do Jerzmanowic	Rano ze stopą najlepiej w tym tygodniu	
		2023-06-25	Niedziela 	Rower	115		147	177	83	282		128	1097	29	54	Wytrzymałość siłowa po górkach	Z biegiem dnia gorzej ze stopą	
		2023-06-26	Poniedziałek	Rower	100	60	136	158	87	256		92	678	30,5	49	Tlen po górkach	REHABILITACJA - stopa, rano dużo lepiej, na rowerze prawie nie czuję stopy
		2023-06-27	Wtorek	Siłownia	60	70										Ręce + core	Jest lepiej ze stopą	
		2023-06-28	Środa	Rower	95	20	128	146	84	243		68	757	25,2	34	Tlen - 6 x Zoo	W ciągu dnia lepiej ze stopą, na rowerze trochę czuję, po rowerze też	
		2023-06-29	Czwartek	Bieganie	70	100	143	170					292	05:35	10,3	Siła biegowa 8 razy + 2xKopiec	Od początku brak mocy w lewej stopie, nie jestem w stanie biec ze śródstopia, na palcach pod górkę lepiej, zbiegi bardzo ciężko, czuję nerw, po bieganiu dużo gorzej 	
		2023-06-30	Piątek	Rower	130	30	142	174	86	272		150	1120	29,7	73	Wytrzymałość siłowa po górkach	REHABILITACJA - stopa - nerw, wieczorem bardzo słabo, czuję nerw przy każdym kroku	
		2023-06-30	Piątek	Siłownia 	40											Koszykówka + dynamika		
		2023-07-01	Sobota	Siłownia 	90	60										Ręce + core + dynamika	Cały dzień czuję nerw, jest bardzo źle	
		2023-07-02	Niedziela 	Rower	60	30						10	98	12,8	17	Z dziećmi 	Cały dzień czuję nerw	
		2023-07-02	Niedziela	Rower	90	30	139	170	86	281		110	604	32	49	Wytrzymałość siłowa po górkach	Dosyć niskie tętno i czuję moc w nogach	
		2023-07-03	Poniedziałek	Rower	80	160	119	138	81	217		63	632	23,4	30	Rege - 5 x Zoo	REHABILITACJA - nerw w stopie, nic nie pomogło, dziś jest jeszcze gorzej niż wczoraj
		2023-07-04	Wtorek 	Rower	70	30	150	180	87	315		93	647	28,3	31	5 x Zoo - VO2max - 3*5min@400W + 340W + 350W	Jest lepiej niż wczoraj	
		2023-07-04	Wtorek	Siłownia	70											Ręce + core + dynamika		
		2023-07-05	Środa	Rower	105	40	136	153	86	252		90	543	30,9	46	Tlen	Chyba trochę gorzej niż wczoraj, po rowerze dużo gorzej ze stopą	
		2023-07-06	Czwartek	Siłownia 	70	60										Ręce + core + dynamika	REHABILITACJA - stopa, wieczorem znowu czuję nerw	
		2023-07-08	Sobota	Góry	60	60							436		5	Beskid Żywiecki - pod namiot 	dzień wcześniej - REHABILITACJA - stopa, jest lepiej, nie czuję już nerwu, wieczorem po górach trochę gorzej ze stopą	
		2023-07-09	Niedziela	Góry	140	30							359		7	Beskid Żywiecki	Nadal czuję stopę 	
		2023-07-10	Poniedziałek	Rower	135	60	148	175	87	282		150	1347	27,7	60	Wytrzymałość siłowa + VO2max po górkach	Gorąco (30), Delikatnie czuję stopę na rowerze, później gorzej
		2023-07-11	Wtorek	Siłownia	70	100										Ręce + core	Dzisiaj jest zdecydowanie lepiej	
		2023-07-13	Czwartek	Siłownia 	70	120										Ręce + core + beret + taśma 	We środę REHABILITACJA - stopa/blizna - po tym dużo lepsza mobilność w stawie skokowym, wieczorem znowu czuję stopę. We czwartek troszkę lepiej, wieczorem gorzej i znowu czuję delikatnie nerw	
		2023-07-14	Piątek	Rower	130	50	145	174	87	264		128	1183	29	62	Wytrzymałość siłowa po górkach	Rano delikatnie czuję nerw, po rozciąganiu już nic. Prawie w ogóle nie czuje stopy na rowerze, później ze stopą troszeczkę gorzej, ale lepiej niż wczoraj, najlepiej z całego tygodnia 	
		2023-07-16	Niedziela	Góry	210								1071		11,6	Ahornspitze z Szymkiem 	Czuję stopę całą wycieczkę, pod koniec słabo 	
		2023-07-16	Niedziela	Siłownia 	50	30										Taśma + beret 	Po ćwiczeniach dużo lepiej	
		2023-07-17	Poniedziałek 	Góry	230								636		10	Rofanspitze 	Trochę lepiej niż wczoraj, kilka razy czuję nerw
		2023-07-17	Poniedziałek	Siłownia	70	40										Ręce + core + beret + taśma 	Wieczorem już słabo	
		2023-07-18	Wtorek	Góry	160								535		7,8	Frauenwand 	Troszkę lepiej niż wczoraj	
		2023-07-18	Wtorek	Siłownia	40	40										beret + taśma 		
		2023-07-19	Środa	Bieganie	65	80	151	177					683	06:33	9,6	Po górach - Schwendau 	Podczas zbiegania czuję stopę po zewnętrznej stronie, raczej słabo	
		2023-07-20	Czwartek	Rower	50	60						25	258	12	15	Stillupgrund z dziećmi 	Dzisiaj trochę lepiej, po rowerze całkiem nieźle 	
		2023-07-20	Czwartek	Rower	125		150	174	74	270		125	1580	18,8	38	Höhenstrasse 	Dzisiaj trochę lepiej, po rowerze całkiem nieźle 	
		2023-07-21	Piątek	Siłownia	40	60										Ręce + beret + taśma 	Dziś podczas zwiedzania coraz gorzej, wieczorem słabo	
		2023-07-22	Sobota	Góry	110								296		7	Ferrata z Szymkiem 		
		2023-07-22	Sobota	Rower	125	60	147	171	74	276		127	1580	18,1	38	Höhenstrasse 		
		2023-07-23	Niedziela	Góry 	120								363		4,5	Rotspitz 		
		2023-07-24	Poniedziałek	Siłownia	160	160										Ręce + core + beret + taśma + dynamika + koszykówka
		2023-07-27	Czwartek	Rower	95	60	105	158	69	170		40	627	19,3	31	Z Anią	Przeziębiony, dużo lepiej po dwóch dniach przerwy i rozluźnianiu rozciągna podeszwowego 	
		2023-07-27	Czwartek	Siłownia	40	60										beret + taśma  + dynamika	Przeziębiony 	
		2023-07-28	Piątek	Siłownia	75	60										Ręce + core + beret + taśma  + dynamika	Przeziębiony 	
		2023-07-29	Sobota	Rower	155	40	151	173	84	262		149	1403	29,3	74	Wytrzymałość siłowa po górkach	Przeziębiony, brak mocy, wysokie tętno, Po rowerze wieczorem trochę czuję stopę	
		2023-07-30	Niedziela	Bieganie	80		153	168					777	06:27	11,5	Beskid Niski - 2 razy Magura 	Przeziębiony, dużo lepiej niż ostatnio w Austrii 	
		2023-07-30	Niedziela	Siłownia	40	70										Beret + taśma + łydki + dynamika	Przeziębiony 	
		2023-07-31	Poniedziałek	Rower	110		144	172	83	268		115	931	29,4	55	Wytrzymałość siłowa po górkach
		2023-07-31	Poniedziałek	Siłownia	40	40										Beret + taśma + łydki + dynamika		
		2023-08-01	Wtorek	Bieganie	60		145	153					0	04:38	11,2	Tlen - stadion 	Po 5km lekko czuję w lewej stopie po zewnętrznej stronie między kostką i Achillesem	
		2023-08-01	Wtorek	Siłownia	35	40										Beret + taśma + łydki		
		2023-08-02	Środa	Siłownia 	80											Ręce + core + beret + taśma + dynamika	Rano trochę gorzej ze stopą, po rozciąganiu i piłeczce lepiej	
		2023-08-02	Środa	Rower	80	50	138	174	81	259		75	758	26,1	34	Tlen pod - 6x Zoo		
		2023-08-03	Czwartek	Siłownia	80	20										Ręce + core + beret + taśma	REHABILITACJA - stopa	
		2023-08-04	Piątek	Bieganie	75	180	147	168					321	05:54	7,6	4xKopiec	REHABILITACJA - stopa, dużo lepiej niż miesiąc temu pod kopcem, ale nadal trochę czuję stopę	
		2023-08-05	Sobota	Rower	100	30	144	175	84	292		120	1037	26,4	43	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min - 340-345W	Wysokie tętno, zmęczone nogi, wieczorem bardzo źle ze stopą	
		2023-08-06	Niedziela	Siłownia 	40	40										Taśma + beret + łydki	Bardzo źle ze stopą	
		2023-08-07	Poniedziałek	Siłownia	80	130										Ręce + core + beret + taśma + dynamika	Bardzo źle ze stopą , wieczorem czuję też po wewnętrznej stronie od dynamiki
		2023-08-08	Wtorek	Siłownia	90	60										Ręce + core + beret + taśma + koszykówka	Źle ze stopą, czuję też po wewnętrznej stronie po dynamice, wieczorem trochę lepiej	
		2023-08-09	Środa	Bieganie	65	50	145	170					383	05:45	8,7	5 x Kopiec	Trochę lepiej niż wczoraj, po bieganiu źle, czuję nerw	
		2023-08-10	Czwartek	Siłownia	120	100										Ręce + core + beret + taśma + dynamika + łydki 	Trochę lepiej niż wczoraj	
		2023-08-11	Piątek	Rower	125	60	149	180	83	281		139	1258	27,6	56	Wytrzymałość siłowa - podjazdy pod Liwocz - 5x10min - 330W	Bardzo słaby dzień, brak mocy, wysokie tętno, nadal źle ze stopą 	
		2023-08-12	Sobota	Rower	190	70	145	171	84	254		174	1728	29,2	92	Tlen po górkach	Gorąco, Bardzo słaby dzień, brak mocy, wysokie tętno, nadal źle ze stopą 	
		2023-08-13	Niedziela	Rower	110				68	119		22	407	17,4	32	Z Szymkiem i Anią - Beskid Niski	Nadal źle ze stopą 	
		2023-08-14	Poniedziałek	Rower	200	60	150	174	85	258		188	1756	30,8	101	Tlen i tempo po górkach	Gorąco (+31), Bardzo słaby dzień, brak mocy, wysokie tętno, troszeczkę lepiej ze stopą
		2023-08-14	Poniedziałek	Siłownia	40											Ręce + core + taśma	Wieczorem gorzej ze stopą	
		2023-08-15	Wtorek	Rower	85	30	96	131	73	130		20	377	20,9	29	Rege z Anią 	Dziś trochę lepiej niż wczoraj, ale nadal czuję stopę	
		2023-08-16	Środa	Bieganie	80	60	152	167					855	06:25	11,8	Beskid Niski - 2 razy Magura 	Trochę lepiej niż wczoraj, po bieganiu nieźle, wieczorem gorzej. REHABILITACJA - fala 1	
		2023-08-16	Środa	Siłownia	55											Ręce + beret + taśma + łydki 	Po fali trochę inaczej ze stopą, ale nadal czuję	
		2023-08-17	Czwartek	Rower	140	60	139	161	85	242		118	867	31	72	Tlen po górkach 	Gorąco (+31), Bardzo słaby dzień, brak mocy, wysokie tętno, nogi mocno zmęczone po wczorajszym bieganiu. Ze stopą podobnie jak wczoraj po fali. REHABILITACJA - fala 2	
		2023-08-19	Sobota	Rower	200		154	177	86	251		177	1527	32	104	Tempo po górkach	Gorąco (+31), Bardzo słaby dzień, brak mocy, mega wysokie tętno, bomba od połowy, trochę lepiej ze stopą, REHABILITACJA - fala 3	
		2023-08-19	Sobota	Siłownia	60	50										Ręce + beret + taśma + łydki 		
		2023-08-20	Niedziela	Bieganie	80		149	166					777	06:27	11,5	Beskid Niski - 2 razy Magura 	Niższe tętno niż ostatnio. Po wczorajszych ćwiczeniach czuję stopę - nerw. Wieczorem po bieganiu czuję nerw 	
		2023-08-20	Niedziela	Rower	90	60	106	138	79	150		29	433	22,9	34	Rege z Anią 		
		2023-08-21	Poniedziałek	Rower	145	50	137	156	85	230		107	926	30,4	72	Tlen po górkach 	Gorąco (+32), Bardzo słaby dzień, brak mocy, wysokie tętno, nogi mocno zmęczone po wczorajszym bieganiu. Ze stopą słabo - rano czuję nerw. REHABILITACJA - fala 4
		2023-08-22	Wtorek	Siłownia	80	30										Ręce + łydki + beret + taśma + dynamika	REHABILITACJA - fala 5, po ćwiczeniach na łydki jest dużo lepiej	
		2023-08-23	Środa	Rower	190	50	141	169	84	256		176	1778	27,7	86	Tempo po górkach	Nadal brak mocy, tętno trochę spadło, REHABILITACJA - fala 6, wieczorem znowu czuję stopę	
		2023-08-24	Czwartek	Rower	95		132	148	87	233		69	508	32,4	46	Tlen	Już trochę lepiej z mocą na podjazdach, tętno spadło, FIZJOTERAPIA - fala 7, nadal czuję stopę 	
		2023-08-24	Czwartek	Rower	75	30	94	140	70	129		18	220	16,5	21	Rege z dziećmi		
		2023-06-25	Piątek	Bieganie	75	20	145	169					595	06:27	8,8	7 x Kopiec 	Gorąco (+32), niższe tętno, FIZJOTERAPIA - fala 8, 1 po 6min. Dzisiaj po fali poprawa, zwłaszcza na bieganiu. Po bieganiu trochę czuję kostkę	
		2023-08-26	Sobota	Rower	85		94	147	66	131		20	247	16,3	23	Rege z dziećmi	Dziś trochę gorzej ze stopą 	
		2023-08-26	Sobota	Rower	100		146	170	88	267		95	862	31,8	49	Tempo po górkach 	Gorąco (+30)	
		2023-08-26	Sobota	Siłownia	90	50										Ręce + łydki + beret + taśma + dynamika	REHABILITACJA - fala 5, po ćwiczeniach na łydki jest dużo lepiej	
		2023-08-27	Niedziela	Bieganie	80	40	147	169					790	06:25	11,6	Beskid Niski - 2 razy Magura 	Do popołudnia kiepsko ze stopą, potem już lepiej. Niższe tętno niż ostatnio. Gorąco (+32)	
		2023-08-28	Poniedziałek	Rower	125	100	138	177	85	260		117	1069	29,4	60	Tlen po górkach	REHABILITACJA - fala 9, dzisiaj dobrze ze stopą po wczorajszym bieganiu
		2023-08-30	Środa	Siłownia	90	30										Ręce + łydki + beret + dynamika	wtorek rano czuję stopę - FALA 2 - zabolało podczas zabiegu, dzisiaj rano czuję stopę FALA 3, po ćwiczeniach wieczorem bardzo kiepsko ze stopą 	
		2023-08-31	Czwartek	Bieganie	75	150	147	177					513	05:24	10,3	6 x Kopiec 	FALA 4, dziś od rana dużo lepiej ze stopą 	
		2023-09-01	Piątek	Rower	95	30	144	172	87	288		107	952	26,2	39	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min - 340W	FALA 5, dziś podobnie jak wczoraj - całkiem nieźle, Wysokie tętno, zmęczone nogi	
		2023-09-01	Piątek	Koszykówka 	30											Koszykówka		
		2023-09-02	Sobota 	Bieganie	95	40	144	161					612	05:40	13,6	Lasek 	Rano spoko ze stopą, podczas biegania czuję tępy ucisk cały czas, po bieganiu trochę gorzej	
		2023-09-03	Niedziela	Siłownia	100											Ręce + łydki + beret + taśma + dynamika	Dziś trochę gorzej ze stopą po wczorajszym bieganiu	
		2023-09-04	Poniedziałek 	Bieganie	60	140	138	145					11	04:49	11,1	Tlen	FALA 6, rano spoko, potem gorzej, na bieganiu czuję stopę ale nie jest źle, wieczorem bardzo słabo
		2023-09-05	Wtorek	Rower	105	30	143	167	87	268		104	602	31,9	53	Tlen	FALA 7, rano lepiej niż wczoraj, po rowerze jeszcze lepiej	
		2023-09-06	Środa	Bieganie	70		145	175					370	05:44	10,7	Sprinty pod górkę - 10 x 40-60s / 2min	W ciągu dnia czuję stopę, przed biegałem posmarowałem i na bieganiu już nie czułem	
		2023-09-07	Czwartek	Rower	95		146	163	88	274		101	341	35,2	54	Tempo 	Pierwszy raz od dawna czuję moc w nogach. FALA 8, czuję stopę 	
		2023-09-07	Czwartek 	Siłownia 	80											Ręce + łydki + beret + taśma + dynamika	Po ćwiczeniach trochę czuję stopę	
		2023-09-08	Piątek	Bieganie	45	30	134	140					9	04:57	8,4	Test wkładek	FALA 9	
		2023-09-09	Sobota	Rower	120	30	138	169	83	262		118	1170	29,1	58	Tempo po górach	Dzisiaj ze stopą całkiem nieźle po wczoraj. Na rowerze urwana przerzutka, trening przerwany 	
		2023-09-10	Niedziela	Góry 	270								1166		13	Tatry Bielskie 	Czuję stopę całą wycieczkę 	
		2023-09-12	Wtorek	Siłownia 	75	20										Ręce + łydki + beret + taśma	rotawirus - bardzo osłabiony
		2023-09-13	Środa	Bieganie	70	40	148	174					450	05:40	8,5	5 x Kopiec 	FALA 10, Trochę czuję stopę, rotawirus - bardzo osłabiony	
		2023-09-14	Czwartek 	Siłownia 	100	20										Ręce + łydki + beret + taśma + dynamika	Wydaje się, że jest trochę lepiej po tych falach	
		2023-09-15	Piątek	Bieganie	60	110	148	180					320	05:41	9,8	Sprinty pod górkę - 9 x 40s / 2min	Nadal mocno osłabiony, FALA 11, rano dobrze, wieczorem bardzo źle	
		2023-09-16	Sobota	Rower	130	30	148	174	84	260		122	1022	29,7	62	Tempo po górkach	Nadal mocno osłabiony, bardzo wysokie tętno, Dzisiaj lepiej ze stopą, po rowerze trochę gorzej	
		2023-09-17	Sobota	Rower	110		145	169	87	269		112	756	30,7	55	Tempo po górkach	Dzisiaj lepiej ze stopą 	
		2023-09-17	Niedziela	Koszykówka 	90	30											Na koszu prawie nie czuję stopy, mocny trening z bieganiem i rzucaniem za 3	
		2023-09-18	Poniedziałek	Siłownia 	80	20										Ręce + łydki + beret + taśma + dynamika	Od południa coraz gorzej ze stopą, potem bardzo źle, nie poszedłem biegać. Po ćwiczeniach dużo lepiej
		2023-09-20	Środa	Góry 	300	120							718		16	Świnica z Szymkiem 	Wyjście na Świnicę spoko, od 5km coraz gorzej i na końcu bardzo źle, popołudniu fatalnie... Miałem wkładki w starych speedcrosach - może dlatego?	
		2023-09-20	Środa	Siłownia 	60	20										Ręce + łydki + taśma	Wieczorem bardzo źle ze stopą 	
		2023-09-21	Czwartek	Rower	115	30	149	171	87	264		109	528	33,4	61	Tempo 	Bardzo źle ze stopą	
		2023-09-22	Piątek	Rower	125		144	171	85	270		128	1000	28,7	58	Wytrzymałość siłowa po górkach	Czuję moc na podjazdach. Trochę lepiej ze stopą, ale nadal czuję nerw. Wieczorem gorzej.	
		2023-09-22	Piątek	Pływanie	40										1000	Technika	W sobotę czuję nerw od rana.	
		2023-09-24	Niedziela	Siłownia	65	30										Łydki + taśma + beret 	Czuję nerw od rana, jest słabo, po ćwiczeniach lepiej, ale wieczorem znowu źle	
		2023-09-25	Poniedziałek	Siłownia 	75	20										Ręce + core + łydki + beret + taśma + dynamika	Do popołudnia mocno czuję nerw, potem po dynamice nagle przechodzi
		2023-09-26	Wtorek	Rower	90	100	155	177	87	281		97	393	33,1	47	Tempo 	Bardzo wysokie tętno, rano czuję nerw 	
		2023-09-27	Środa	Rower	110	30	154	177	87	278		120	796	31,5	57	Wytrzymałość siłowa po górkach	Rano czuję nerw, potem lepiej, bardzo wysokie tętno	
		2023-09-27	Środa	Siłownia 	60	20										Ręce + łydki + beret + taśma		
		2023-09-28	Czwartek	Góry 	250	30							1044		12	Giewont z Natalką 	Podczas schodzenia gorzej, nowe buty z wkładkami, spróbowałem 2km bez i było chyba jeszcze gorzej. Wieczorem bardzo źle	
		2023-09-29	Piątek	Rower	90	40	149	170	89	287		113	1025	26,6	43	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min	Rano delikatnie czuję nerw, w ciągu dnia ok, wieczorem też dużo lepiej niż po ostatnich górach, bardzo wysokie tętno	
		2023-10-01	Niedziela	Siłownia	90	100										Ręce + core + łydki + beret + dynamika	W sobotę troszkę czuję stopę, dzisiaj jest lepiej	
		2023-10-02	Poniedziałek	Rower	115	30	144	170	87	264		113	792	30,2	57	Tempo po górkach	Rano dobrze, po rowerze troszkę czuję stopę, po wałkowaniu i rozciąganiu lepiej, po koncercie wieczorem jest źle (stałem na koncercie w butach do biegania z wkładkami ponad 3h)
		2023-10-03	Wtorek	Rower	130	100	148	173	86	271		134	1029	29,4	62	Wytrzymałość siłowa po górkach	Bardzo wysokie tętno, rano bardzo źle po wczorajszym koncercie, po rowerze lepiej	
		2023-10-04	Środa	Rower	105	30	136	157	86	249		90	537	30,2	51	Tlen	Trochę lepiej ze stopą, rozciąganie tylnej taśmy pomaga	
		2023-10-04	Środa	Siłownia 	70											Ręce + łydki + beret + taśma		
		2023-10-06	Piątek	Rower	100	20	140	170	86	258		93	627	29,4	48	Tempo po górkach	Trochę lepiej ze stopą, rozciąganie tylnej taśmy pomaga	
		2023-10-06	Piątek	Pływanie	40										1000	Technika	Wieczorem gorzej ze stopą, czuję mocno jak wracam od Maćka 	
		2023-10-07	Sobota 	Rower	90	50	152	174	90	276		98	371	34,2	51	Tempo	Rozciąganie tylnej taśmy pomaga	
		2023-10-08	Niedziela	Siłownia	75	130										Ręce + core + łydki + beret + dynamika	Po ćwiczeniach gorzej, raczej słabo, Rozciąganie tylnej taśmy pomaga	
		2023-10-09	Poniedziałek	Siłownia 	75	20										Nogi - 5x(przysiad 20-30 12kg, wykroki 8x7.5kg, krzesło) + 4 x ( łydki - 5kg, taśma, bosu)	Rozciąganie tylnej taśmy pomaga, po ćwiczeniach bardzo dobrze, wieczorem podobnie jak wczoraj
		2023-10-11	Środa	Rower	90	120	146	171	88	269		92	474	31,6	47	Tempo 	We wtorek rano po ćwiczeniach lepiej, pierwszy raz od dawna nie czuje nerwu i ogólnie jest dobrze. 	
		2023-10-11	Środa	Siłownia 	75	20										Nogi - 4x(przysiad 20 x 12kg, wykroki 8x7.5kg, krzesło) + 4 x ( łydki - 5kg, taśma, bosu) + ręce	Na drugi dzień po ćwiczeniach trochę gorzej, poczułem nerw kilka razy, we czwartek wieczorem jest znowu źle... 	
		2023-10-13	Piątek	Rower	105	70	140	167	89	262		98	619	30,1	50	Tlen + tempo 	Dzisiaj trochę lepiej, nie czuję nerwu , KOREKCJA WKŁADEK	
		2023-10-13	Piątek	Siłownia 	60											Koszykówka		
		2023-10-14	Sobota	Rower	105		148	172	90	284		118	1068	25,5	43	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min	Bardzo wysokie tętno, zmęczone nogi. Nie czuję nerwu, trochę lepiej	
		2023-10-14	Sobota	Rower	85	45						20	155	15,6	22	Z dziećmi	Wieczorem trochę gorzej	
		2023-10-15	Niedziela	Siłownia	80	130										Ręce + core + łydki + beret + dynamika	Dziś od rana jest dobrze, nie czuję nerwu 	
		2023-10-16	Poniedziałek	Siłownia 	75	120										Nogi - 5x(przysiad 20 x 12kg, wykroki 8x7.5kg, krzesło) + 4 x (łydki - 5kg, taśma, bosu)	Do południa jest dobrze, potem zaczynam czuć stopę, wieczorem czuję stopę
		2023-10-18	Środa	Rower	90	80	145	173	89	254		83	487	29,5	44	Tlen	FIZJOTERAPIA, od rana czuję stopę, po rowerze dużo lepiej	
		2023-10-19	Czwartek	Bieganie	35		135	141					7	05:19	5.8	Test wkładek	Rano na początku trochę czuję stopę, potem jest lepiej. Na bieganiu nic nie czuję	
		2023-10-19	Czwartek	Siłownia 	80											Nogi - 5x(przysiad 20 x 13-17kg) + 4 x (wykroki 8x10kg, krzesło, łydki - 5kg) + 3 x beret (lewa, prawa, lewa) + 8 x 20 pompki Miłka	Nie czuję stopy	
		2023-10-20	Piątek	Pływanie	45										1600	1000m + Technika		
		2023-10-21	Sobota	Rower	140		149	176	89	267		143	1073	29,7	69	Tlen	Bardzo wysokie tętno, bo rowerze nie czuję stopy	
		2023-10-21	Sobota	Koszykówka	40											Koszykówka	Nie czuję stopy, ROZWALIŁEM LEWE KOLANO przy wjeździe na kosz, nie czułem żadnego bólu, tak jakbym coś naciągnął, na drugi dzień bardzo źle	
		2023-10-27	Piątek	Pływanie	45	210									1400	1000m + Technika	Każdego dnia jak troszeczkę lepiej , FIZJOTERAPIA - SIS + krio
		2023-10-29	Niedziela	Rower	120	130	153	182	89	261		111	727	30,1	57	Tlen + akcenty	Bardzo wysokie tętno, trochę czuję kolano	
		2023-10-30	Poniedziałek	Rower	120	60	146	174	88	261		116	823	29,8	59	Tlen + tempo	FIZJOTERAPIA - SIS + krio, na rowerze lepiej niż wczoraj, przy dłuższym chodzeniu nadal czuję kolano
		2023-11-01	Środa	Rower	100	260			65	126		23	173	14,6	23	Lasek z Natalką 	FIZJOTERAPIA - SIS + krio, wczoraj w ciągu dnia nadal czuję kolano, wieczorem po saunie przeszło. Dzisiaj rano najlepiej od urazu, się na rowerze znowu czuję, po saunie wcale nie jest lepiej 	
		2023-11-02	Czwartek	Rower	100		137	163					426	30,8	50	Tlen	Delikatnie czuję lewe kolano 	
		2023-11-03	Piątek	Siłownia 	60	20										Ręce + core + beret + łydki	Przy kucaniu strzeliła mi łękotka, JEST BARDZO SŁABO	
		2023-11-05	Niedziela	Siłownia 	70	20										Nogi + beret		
		2023-11-07	Wtorek 	Rower	95	90	148	173	88	253		85	491	30,2	46	Tlen
		2023-11-08	Środa	Siłownia 	65	20										Nogi + beret		
		2023-11-08	Środa	Siłownia 	35	20										Ręce + core	JUTRO ZABIEG USUNIĘCIA ŁĄKOTKI PRZYŚRODKOWEJ W LEWYM KOLANIE 	
		2023-11-11	Sobota	Siłownia 	40											Ręce + core	We czwartek po południu był zabieg wycięcia fragmentu łąkotki przyśrodkowej w lewym kolanie. Na drugi dzień bardzo dobrze, prawie nic nie boli, dzisiaj nic nie boli, coraz lepiej 	
		2023-11-12	Niedziela	Siłownia 	45											Ręce + core + łydki		
		2023-11-13	Poniedziałek	Siłownia 	45	60										Nogi + core	FIZJOTERAPIA
		2023-11-14	Wtorek	Siłownia 	60	40										Nogi + core		
		2023-11-15	Środa 	Siłownia 	60											Nogi - rehab	FIZJOTERAPIA 	
		2023-11-15	Środa	Siłownia 	35	30										Ręce + łydki		
		2023-11-16	Czwartek	Siłownia 	60											Nogi		
		2023-11-17	Piątek	Siłownia 	55	80										Nogi	FIZJOTERAPIA 	
		2023-11-18	Sobota	Siłownia 	40											Nogi	wieczorem zaczęło boleć koło wewnętrznej blizny, lekki stan zapalny	
		2023-11-19	Niedziela	Siłownia 	35											Nogi	delikatnie spuchło kolano, stan zapalny po wewnętrznej stronie 	
		2023-11-22	Środa 	Siłownia 	50	40										Nogi - rehab + ręce + core	w poniedziałek zdjęcie szwów, delikatnie spuchło kolano, stan zapalny po wewnętrznej stronie, dzisiaj trochę lepiej, ale rano plaster był czerwony od krwii, wyciekło troszeczkę ropy/osocza
		2023-11-23	Czwartek	Rower	40	30	138	171	80	160		14	16	24,6	16	Rehab - 15min + 10min lewa/prawa po minucie	Trochę czuję kolano z tyłu i z przodu, raczej nie z boku. Średnia lewa:prawa 133W:172W, cały trening 39/61, ANTYBIOTYK	
		2023-11-24	Piątek	Rower	50	10	148	169	85	169		20	28	25	20	Rehab - 15min + 13 x lewa/prawa po 30s, 2 lata temu drugi trening miał moc 135W:145W	Dziś dużo lepiej niż wczoraj z kolanem, bardzo delikatnie czuję. Średnia lewej: 145W, cały trening 41/59, ANTYBIOTYK	
		2023-11-24	Piątek	Siłownia 	70	10										Nogi - rehab	FIZJOTERAPIA, czuję kolano po wewnętrznej stronie na bieżni, trochę czuję na ćwiczeniach	
		2023-11-25	Sobota	Siłownia 	50	20										Nogi - rehab + ręce + core	Delikatnie czuję kolano na ćwiczeniach	
		2023-11-26	Niedziela	Rower	55		123	138	86	194		30	21	26,3	24	Rehab - tlen	Przez pierwsze 10 minut trochę czuję kolano po obu stronach, potem lepiej, balans: 42/58, ANTYBIOTYK	
		2023-11-26	Niedziela	Siłownia 	30	25										Nogi	Nie czuję kolana na ćwiczeniach, ANTYBIOTYK	
		2023-11-27	Poniedziałek	Siłownia 	70	30										Nogi + rehab	FIZJOTERAPIA, ANTYBIOTYK
		2023-11-28	Wtorek	Siłownia 	70	30										Nogi + core	Trochę czuję kolano od wewnętrznej strony w ciągu dnia	
		2023-11-29	Środa	Rower	60		143	155	89	207		37	0	30	30	Rehab - tlen, trenażer	Trochę czuję kolano cały trening, balans: 47/53	
		2023-11-29	Środa	Siłownia 	60	40										Ręce + core		
		2023-11-30	Czwartek	Siłownia 	65	60										Nogi	FIZJOTERAPIA, dużo lepiej po terapii	
		2023-12-01	Piątek	Siłownia 	60	30										Nogi + ręce + core		
		2023-12-01	Piątek	Pływanie	45										1000	Technika + 6 x 25nn, zakres	Robiłem też ćwiczenia na zgięcie - dużo lepiej po basenie	
