		2021-01-01	Piątek	Bieganie	50	20	143	151					89	04:50	10.1	Tlen	Niższe tętno niż ostatnio, bardzo delikatnie czuję stopę podczas biegania	https://connect.garmin.com/modern/activity/6035878054
		2021-05-30	Niedziela	Rower	135	130	135	158	85	248	1.92	103,1	760	30.1	66	Tlen		https://connect.garmin.com/modern/activity/6869137846	https://www.strava.com/activities/5384146559
		2021-05-30	Niedziela	Pływanie	50										2100	Base Aerobic - 5x250m / 15s - pullboy cały trening		https://connect.garmin.com/modern/activity/6870344841	
		2021-05-31	Poniedziałek	Rower	100	25	122	138	85	210		56	216	30,7	51	Regeneracja		https://connect.garmin.com/modern/activity/6874574775	https://www.strava.com/activities/5389258020
		2021-05-31	Poniedziałek	Siłownia	40											Ręce + core			
		2021-06-01	Wtorek	Pływanie	70										2400	Base Aerobic - 2x(300+200+100) + 300m / 15s - pullboy cały trening	Cały trening równe tempo 1:51-1:52	https://connect.garmin.com/modern/activity/6879432212	
		2021-06-01	Wtorek	Rower	100	120						25			39	Regeneracja z Szymkiem			
		2021-06-02	Środa	Siłownia	70											Ręce + core + rower			
		2021-06-03	Czwartek	Rower	200	25	147	174	86	278		197,6	1680	30,5	101	Tempo	Mocno czuję nogi i zmęczenie	https://connect.garmin.com/modern/activity/6893039389	https://www.strava.com/activities/5407277852
		2021-06-04	Piątek	Rower	60							18	265		25	Regeneracja z Szymkiem			
		2021-06-04	Piątek	Rower	95	5	134	150	87	240	1.82	68,5	377	32,5	51	Tlen	Mocno czuję nogi	https://connect.garmin.com/modern/activity/6898828055	https://www.strava.com/activities/5412663017
		2021-06-05	Sobota	Pływanie	65	80									2700	Technika + Base Aerobic - 5x300m / 15s - pullboy cały trening		https://connect.garmin.com/modern/activity/6905468470	
		2021-06-06	Niedziela	Rower	240	10	143	180	85	278		233,4	2151	28,2	111	Tempo po górkach	Mocno czuję nogi	https://connect.garmin.com/modern/activity/6911611452	https://www.strava.com/activities/5425277422
		2021-06-07	Poniedziałek	Rower	120		96	130	79	132		34	492	22,5	62	Regeneracja z Szymkiem i potem z Anią		https://connect.garmin.com/modern/activity/6916384212	https://www.strava.com/activities/5429742507
		2021-06-08	Wtorek	Rower	120	100	144	175	87	289		122,7	1120	29,3	56	Tempo po górkach	Czuję nogi	https://connect.garmin.com/modern/activity/6922007885	https://www.strava.com/activities/5435103066
		2021-06-09	Środa	Siłownia	80											Ręce + core			
		2021-06-10	Czwartek	Rower	110	10	144	174	86	294		116,5	1074	28.1	50	Tempo po górkach		https://connect.garmin.com/modern/activity/6934031978	https://www.strava.com/activities/5446665077
		2021-06-11	Piątek	Pływanie	45										1700	Technika + Base Aerobic - 5x300m / 15s - pullboy cały trening		https://connect.garmin.com/modern/activity/6939990943	
		2021-06-12	Sobota	Góry	200								811		10	Hala Krupowa		https://connect.garmin.com/modern/activity/6953381428	https://www.strava.com/activities/5465245338
		2021-06-13	Niedziela	Pływanie	50										1900	Technika		https://connect.garmin.com/modern/activity/6953381428	
		2021-06-14	Poniedziałek	Siłownia	75											Ręce + core
		2021-06-15	Wtorek	Rower	120	120	144	162	88	265		105	449	33.2	65	Tlen		https://connect.garmin.com/modern/activity/6962853636	https://www.strava.com/activities/5474079876
		2021-06-16	Środa	Rower	115	20	150	177	87	305		134	1250	27.1	51	Wytrzymałość siłowa - podjazdy pod zoo - 10x6min	Gorąco	https://connect.garmin.com/modern/activity/6969110782	https://www.strava.com/activities/5480102510
		2021-06-17	Czwartek	Rower	100	20	148	182	86	306		116	1015	28.9	46	Tempo po górkach	Gorąco	https://connect.garmin.com/modern/activity/6975373405	https://www.strava.com/activities/5486027233
		2021-06-18	Piątek	Siłownia	80											Ręce + core			
		2021-06-18	Piątek	Pływanie	50										1600	Technika		https://connect.garmin.com/modern/activity/6980969834	
		2021-06-19	Sobota	Rower	95	20	141	150	89	239		68	305	33.1	51	Tlen	Gorąco, zmęczone nogi, wysokie tętno	https://connect.garmin.com/modern/activity/6983406631	https://www.strava.com/activities/5493569643
		2021-06-20	Niedziela	Rower	180	25	155	175	90	286		185	1245	34.3	100	Tempo po górkach	Gorąco (+30), bardzo wysokie tętno, mocny trening	https://connect.garmin.com/modern/activity/6991881097	https://www.strava.com/activities/5501777843
		2021-06-21	Poniedziałek	Rower	105	20	129	143	86	220		65	480	31.8	54	Lekki tlen	Gorąco (+31)	https://connect.garmin.com/modern/activity/6996473419	https://www.strava.com/activities/5506016157
		2021-06-21	Poniedziałek	Siłownia	60											Ręce + core			
		2021-06-22	Wtorek	Rower	110	15	152	179	85	292		119	1036	30.7	56	Tempo + VO2max po górkach	Gorąco (+32)	https://connect.garmin.com/modern/activity/7002523619	https://www.strava.com/activities/5511616675
		2021-06-22	Wtorek	Rower	65	120	127	159	72	186		28	75	19.5	23	Rege z Szymkiem na ściankę i z powrotem		https://connect.garmin.com/modern/activity/7001932042	https://www.strava.com/activities/5512091177
		2021-06-24	Czwartek	Rower	115	20	149	173	85	301		131	1158	27,1	51	Wytrzymałość siłowa - podjazdy pod zoo - 9x6min	Gorąco (odczuwalna +36)	https://connect.garmin.com/modern/activity/7013027127	https://www.strava.com/activities/5521639139
		2021-06-25	Piątek	Pływanie	45										1500	Base Aerobic - 5x300m / 15s - pullboy cały trening		https://connect.garmin.com/modern/activity/7019862904	
		2021-06-25	Piątek	Siłownia	70											Ręce + core			
		2021-06-26	Sobota	Rower	105	20	137	148	87	247	1.85	79	256	33,3	56	Tlen		https://connect.garmin.com/modern/activity/7023922899	https://www.strava.com/activities/5531904703
		2021-06-27	Niedziela	Rower	145	100	144	175	86	293		156	1147	30,7	73	Tempo po górkach	Dosyć niskie tętno	https://connect.garmin.com/modern/activity/7030027512	https://www.strava.com/activities/5537793896
		2021-06-28	Poniedziałek	Rower	115	15	131	146	85	238	1.87	81	328	32,6	60	Tlen		https://connect.garmin.com/modern/activity/7036429151	https://www.strava.com/activities/5543682147
		2021-06-29	Wtorek	Siłownia	80											Ręce + core			
		2021-06-30	Środa	Rower	205	150	147	175	84	282		206	1851	30,2	102	Tempo po górkach	Gorąco, od początku wysokie tętno i mało mocy	https://connect.garmin.com/modern/activity/7046143724	https://www.strava.com/activities/5552788256
		2021-07-01	Czwartek	Pływanie	80										2500	Base Aerobic - 2x(400+300+200+100) / 15s - pullboy cały trening		https://connect.garmin.com/modern/activity/7051387824	
		2021-07-02	Piątek	Rower	120	10	145	174	86	316		146	1250	27,8	53	Wytrzymałość siłowa - podjazdy pod zoo - 10x6min	Bardzo dobry trening, wysoka moc, suma interwałów 60 min, HR/W:	https://connect.garmin.com/modern/activity/7057550679	https://www.strava.com/activities/5563574749
		2021-07-03	Sobota	Rower	115	20	137	151	87	259	1.93	96	461	34,1	63	Tlen	Niskie tętno, super trening, czuję moc w nogach	https://connect.garmin.com/modern/activity/7061842621	https://www.strava.com/activities/5567568860
		2021-07-04	Niedziela	Rower	105		142	176	83	306		122	1044	26	44	5x4min VO2max	Czuję moc, interwały na stojąco z fragmentem po płaskim, gdzie nie mogłem pedałować i średnia moc spadała o 20W, suma interwałów: 20min, HR/W: 160/398, 161/389, 162/394, 165/401, 164/396	https://connect.garmin.com/modern/activity/7067919573	https://www.strava.com/activities/5573355090
		2021-07-04	Niedziela	Rower	120		92	135				30	60	14	30	Regeneracja z Szymkiem		https://connect.garmin.com/modern/activity/7069926198	https://www.strava.com/activities/5575344773
		2021-07-05	Poniedziałek	Rower	125	110	137	149	86	260	1.96	107	412	34,6	71	Tlen	Niskie tętno, super trening, czuję moc w nogach, najwyższe EF w tym roku	https://connect.garmin.com/modern/activity/7074017578	https://www.strava.com/activities/5579075692
		2021-07-06	Wtorek	Rower	120		143	173	84	300		128	1246	26,8	50	Wytrzymałość siłowa - podjazdy pod zoo - 10x6min	Mocno czuję nogi, jechałem na niższej mocy, suma interwałów 61min, HR/W:	https://connect.garmin.com/modern/activity/7079753786	https://www.strava.com/activities/5584434265
		2021-07-06	Środa	Góry	300	15							986		16	Turbacz	Przy zejściu mega mnie boli kostka	https://connect.garmin.com/modern/activity/7086479179	https://www.strava.com/activities/5590720041
		2021-07-08	Czwartek	Rower	165	20	155	182	86	306		196	1400	31	85	Tempo + podjazdy VO2max	Upał (+32). Mega moc, pomimo 2100 TSSów po 3 tygodniach i wczorajszych górach z nosidłem. Życiowa forma, życiówka pod zoo - 4:39.	https://connect.garmin.com/modern/activity/7090437925	https://www.strava.com/activities/5594496704
		2021-07-09	Piątek	Rower	110		85	110				19	55	16	31	Regeneracja z Szymkiem		https://connect.garmin.com/modern/activity/7090437925	https://www.strava.com/activities/5594496704
		2021-07-09	Piątek	Siłownia	75											Ręce + core			
		2021-07-10	Sobota	Rower	85	20	143	178	84	320		108	749	28	39	Podjazdy VO2max	Drugi najlepszy czas pod Zoo - 4:44	https://connect.garmin.com/modern/activity/7103125634	https://www.strava.com/activities/5606513530
		2021-07-11	Niedziela	Rower	55		89	125				15	17	16	16	Regeneracja z Szymkiem		https://connect.garmin.com/modern/activity/7106817273	
		2021-07-11	Niedziela	Rower	95		148	159	89	300		108	27	37	57	Tempo ciągiem 1h	Niskie tętno, 1h/313W/152HR, 38.1km/h	https://connect.garmin.com/modern/activity/7107958934	https://www.strava.com/activities/5611148566
		2021-07-13	Wtorek	Siłownia	30											Core	1 dzień po operacji
		2021-07-14	Środa	Siłownia	60											Core			
		2021-07-15	Czwartek	Siłownia	80											Core + ręce			
		2021-07-16	Piątek	Siłownia	70											Core + nogi			
		2021-07-17	Sobota	Siłownia	85											Core + nogi			
		2021-07-18	Niedziela	Siłownia	60											Core + ręce			
		2021-07-20	Wtorek	Siłownia	95											Core + nogi	W poniedziałek fizjoterapia #1
		2021-07-21	Środa	Siłownia	85											Core + ręce + nogi			
		2021-07-22	Czwartek	Siłownia	65											Core + ręce			
		2021-07-23	Piątek	Siłownia	70											Nogi + core			
		2021-07-24	Sobota	Siłownia	65											Nogi + core			
		2021-07-25	Niedziela	Siłownia	80											Core + ręce			
		2021-07-27	Wtorek	Pływanie	45										1000	Rehabilitacja
		2021-07-28	Środa	Siłownia	75											Core + ręce	Fizjoterapia #2		
		2021-07-29	Czwartek	Siłownia	85											Nogi + core			
		2021-07-30	Piątek	Siłownia	70											Core + ręce	Fizjoterapia #3		
		2021-07-31	Sobota	Pływanie	60										1700	Technika + 5x200m w tlenie			
		2021-08-01	Niedziela	Siłownia	80											Core + ręce			
		2021-08-02	Poniedziałek	Siłownia	90											Nogi + core
		2021-08-03	Wtorek	Siłownia	75											Core + ręce			
		2021-08-04	Środa	Siłownia	100											Nogi + core	Fizjoterapia #4		
		2021-08-05	Czwartek	Pływanie	50										1700	Technika + 3x200m w tlenie			
		2021-08-06	Piątek	Siłownia	90											Nogi + core	Fizjoterapia #5		
		2021-08-07	Sobota	Siłownia	65											Core + ręce			
		2021-08-07	Sobota	Pływanie	40										1500	Technika + 4x200m w tlenie			
		2021-08-08	Niedziela	Siłownia	85											Nogi + core			
		2021-08-09	Poniedziałek	Pływanie	60										1600	Technika + 5x200m w tlenie
		2021-08-10	Wtorek	Siłownia	65											Core + ręce	Fizjoterapia #6		
		2021-08-11	Środa	Siłownia	85											Nogi + core			
		2021-08-12	Czwartek	Pływanie	45										1400	Technika	Fizjoterapia #7		
		2021-08-13	Piątek	Siłownia	65											Core + ręce			
		2021-08-14	Sobota	Siłownia	85											Nogi + core			
		2021-08-14	Sobota	Pływanie	65										1700	Technika			
		2021-08-15	Niedziela	Siłownia	60											Core + ręce			
		2021-08-16	Poniedziałek	Siłownia	85											Nogi + core
		2021-08-17	Wtorek	Pływanie	60	70									1800	Technika + 3x200m + 2x300m	Fizjoterapia #8 + sauna		
		2021-08-18	Środa	Siłownia	75											Core + ręce			
		2021-08-19	Czwartek	Siłownia	80											Nogi + core	Fizjoterapia #9		
		2021-08-20	Piątek	Pływanie	60	70									1800	Technika + 9x100m	sauna		
		2021-08-21	Sobota	Siłownia	95											Nogi + core			
		2021-08-22	Niedziela	Siłownia	85											Core + ręce			
		2021-08-23	Poniedziałek	Siłownia	80											Nogi + core
		2021-08-23	Poniedziałek	Rower	35		117	134	81	173		12	12	27,3	15	Fizjo			
		2021-08-24	Wtorek	Siłownia	80											Core + ręce	Fizjoterapia #10		
		2021-08-25	Środa	Rower	60								25	24,9	24	Fizjo - lewa, prawa - 5min			
		2021-08-26	Czwartek	Pływanie	60										1300	Technika			
		2021-08-26	Czwartek	Siłownia	65											Nogi			
		2021-08-27	Piątek	Siłownia	45											Gumy + core	Fizjoterapia #11		
		2021-08-28	Sobota	Rower	90	120										Fizjo	Sauna		
		2021-08-29	Niedziela	Siłownia	95											Core + ręce + nogi (rehab)			
		2021-08-29	Niedziela	Pływanie	60										1500	Technika + 5x100m łapki			
		2021-08-30	Poniedziałek	Siłownia	100											Nogi + core
		2021-08-31	Wtorek	Siłownia	95	120										Gumy + core + ręce + nogi (rehab)	Fizjoterapia #12, sauna		
		2021-09-01	Środa	Rower	75											Fizjo			
		2021-09-02	Czwartek	Siłownia	100											Nogi + core + ręce			
		2021-09-03	Piątek	Rower	85											Fizjo	Fizjoterapia #13		
		2021-09-05	Niedziela	Rower	105											Fizjo			
		2021-09-06	Poniedziałek	Siłownia	65											Core + ręce
		2021-09-07	Wtorek	Rower	80											Fizjo	Fizjoterapia #14		
		2021-09-08	Środa	Rower	70											Fizjo - lewa, prawa - 10min			
		2021-09-08	Środa	Siłownia	90											Nogi + core			
		2021-09-09	Czwartek	Siłownia	70											Core + ręce			
		2021-09-09	Czwartek	Rower	75		146	161	86	224		50	32	31,3	39	Fizjo, lewa, prawa - 15min			
		2021-09-10	Piątek	Rower	60											Fizjo, lewa, prawa - 20min	Fizjoterapia #15		
		2021-09-11	Sobota	Rower	75											Z Szymkiem			
		2021-09-11	Sobota	Siłownia	30											Core + ręce			
		2021-09-12	Niedziela	Rower	120											Fizjo z Waszczem			
		2021-09-12	Niedziela	Siłownia	70											Nogi			
		2021-09-13	Poniedziałek	Rower	60				85	210		34	26	29	30	Fizjo, lewa, prawa - 25min
		2021-09-13	Poniedziałek	Siłownia	80											Core + ręce			
		2021-09-14	Wtorek	Rower	85	120	140	155	87	235		61	180	32,2	46	Tlen	Fizjoterapia #16, sauna		
		2021-09-15	Środa	Rower	120	20	149	166	92	250		92	320	33,3	64	Tempo			
		2021-09-16	Czwartek	Rower	75	20	142	164	86	208		42	32	30,2	38	Fizjo, lewa, prawa - 35min			
		2021-09-16	Czwartek	Siłownia	65											Core + ręce			
		2021-09-17	Piątek	Siłownia	75											Nogi	Fizjoterapia #17		
		2021-09-18	Sobota	Siłownia	50											Core + ręce			
		2021-09-19	Niedziela	Rower	70	20	137	151	88	209		39	32	29,9	35	Fizjo, lewa, prawa - 40min			
		2021-09-20	Poniedziałek	Siłownia	100											Nogi + core	Fizjoterapia #18
		2021-09-21	Wtorek	Rower	75		140	160	86	236		53,3	146	32,2	40	Tlen	Bardzo niewyspany i zmęczony po wczoraj		
		2021-09-22	Środa	Siłownia	85											Core + ręce	Fizjoterapia #19		
		2021-09-23	Czwartek	Rower	80		142	163	87	208		45	22	29,8	40	Fizjo, lewa, prawa - 40min			
		2021-09-24	Piątek	Rower	80		145	162	87	219		50	22	30,5	40	Fizjo, lewa, prawa - 40min			
		2021-09-25	Sobota	Rower	105	20	144	168	87	249		82,2	389	32,9	57	Tlen + tempo			
		2021-09-26	Niedziela	Rower	105		112	166				25	268	13,1	23	Z dziećmi w Lasku			
		2021-09-26	Niedziela	Rower	75		148	167	86	281		72	211	34,8	41	Tempo	Mocny trening		
		2021-09-26	Niedziela	Siłownia	75											Nogi			
		2021-09-27	Poniedziałek	Rower	95	20	126	145	85	202		48	154	29,9	46	Regeneracja
		2021-09-27	Poniedziałek	Siłownia	75											Ręce + core			
		2021-09-28	Wtorek	Siłownia	85											Nogi	Fizjoterapia #20		
		2021-09-29	Środa	Rower	100	20	134	160	85	232		68	279	32	52	Tlen			
		2021-10-01	Piątek	Rower	90		142	163	88	218		55	35	30,9	47	Fizjo, lewa, prawa - 40min	Fizjoterapia #21		
		2021-10-01	Piątek	Siłownia	85											Ręce + core			
		2021-10-02	Sobota	Rower	130		116	158	79	192		62	578	24	52	Z Anią	wieczorem wypadek w kuchni - bardzo mocno obiłem lewą stopę		
		2021-10-04	Poniedziałek	Rower	115	15	145	169	85	253		93	434	32,7	62	Tlen + tempo
		2021-10-04	Poniedziałek	Siłownia	60											Ręce + core			
		2021-10-05	Wtorek	Rower	120	15	143	165	85	248		93	531	31,4	62	Tlen + tempo			
		2021-10-06	Środa	Siłownia	95											Nogi + ręce + core			
		2021-10-07	Czwartek	Rower	70	15	130	162	84	210		40	128	30,7	36	Regeneracja			
		2021-10-08	Piątek	Siłownia	85	10										Ręce + core	Fizjoterapia #22		
		2021-10-09	Sobota	Góry	120								424		5.5	Szczebel	Podczas schodzenia mocno czuję stopę, pod koniec już bardzo bolesne		
		2021-10-10	Niedziela	Rower	135	15	146	173	88	270		124	527	33,4	74	Tlen + tempo	Po rowerze zadziwiająco dobrze ze stopą		
		2021-10-10	Niedziela	Pływanie	40										1000	Technika			
		2021-10-11	Poniedziałek	Rower	90	30	130	142	85	212		50	155	31,3	46	Regeneracja
		2021-10-11	Poniedziałek	Siłownia	80											Ręce + core			
		2021-10-12	Wtorek	Pływanie	50										1000	Technika			
		2021-10-13	Środa	Siłownia	95											Nogi			
		2021-10-14	Czwartek	Góry	150								488		6.5	Śnieżnica	Jest trochę lepiej niż ostatnio, bardziej dynamicznie schodzę, ale pod koniec mocno czuję stopę		
		2021-10-15	Piątek	Rower	110		138	163	81	207		61	46	27,1	50	Fizjo, lewa, prawa - 30min + rehab z Szymkiem	Fizjoterapia #23		
		2021-10-15	Piątek	Siłownia	80											Ręce + core			
		2021-10-16	Sobota	Rower	150		144	161	87	245		116	210	33,5	84	Tlen + tempo			
		2021-10-17	Niedziela	Góry	180								738		9.5	Gorc Troszacki	Dynamicznie wchodzę, podczas schodzenia ból		
		2021-10-18	Poniedziałek	Siłownia	85											Nogi
		2021-10-19	Wtorek	Siłownia	35		145	162					248		2	Rehab - górka x 32			
		2021-10-19	Wtorek	Rower	65	90	142	161	85	203		35	20	30,4	33	Fizjo, lewa, prawa - 35min			
		2021-10-20	Środa	Rower	130	20	145	172	86	265		117	742	30,8	67	Tlen + tempo			
		2021-10-20	Środa	Siłownia	85											Ręce + core	Dzisiaj jest dużo lepiej ze stopą, prawie nie czuję podczas chodzenia		
		2021-10-21	Czwartek	Siłownia	75											Nogi			
		2021-10-22	Piątek	Siłownia	40		151	168					351		3	Rehab - górka x 40			
		2021-10-22	Piątek	Rower	120	20	145	173	85	273		111	571	31,5	61	Tlen + tempo			
		2021-10-23	Sobota	Siłownia	40		152	170					404		3	Rehab - górka x 50			
		2021-10-24	Niedziela	Rower	85		101	145				20	142	14,2	20	Regeneracja z Szymkiem			
		2021-10-24	Niedziela	Rower	100		142	164	87	259		85	404	32,3	53	Tlen + tempo			
		2021-10-25	Poniedziałek	Góry	140								727		10.2	Stare Wierchy	Od początku czuję stopę, ogólnie bardzo słaby dzień. Truchtam z górki i pod górkę kilka razy - dużo lepiej niż ostatnio w górach.
		2021-10-25	Poniedziałek	Siłownia	100	20										Nogi + ręce			
		2021-10-26	Wtorek	Pływanie	50										1400	Technika	Fizjoterapia #24		
		2021-10-27	Środa	Rower	100		140	152	86	246		84	33	34,3	55	Tlen			
		2021-10-27	Środa	Siłownia	95	20										Ręce + core			
		2021-10-28	Czwartek	Rower	110	15	146	165	87	261		108	405	33,3	61	Tlen + tempo			
		2021-10-29	Piątek	Góry	150								921		8	Przehyba	Prawie nie czuję stopy, jest na prawdę bardzo dobrze		
		2021-10-30	Sobota	Góry	180								400		11.5	Przehyba	Na drugi dzień bardzo słabo		
		2021-10-31	Niedziela	Rower	180		145	177	86	270		185	1082	30.9	91	Tlen + tempo po górkach	Na początku delikatnie czuję stopę, potem prawie w ogóle		
		2021-11-01	Poniedziałek	Rower	60		96	158				25	171	13.8	23	Regeneracja z Szymkiem
		2021-11-01	Poniedziałek	Siłownia	85											Nogi			
		2021-11-02	Wtorek	Pływanie	50										1500	10x100 co 5 oddech			
		2021-11-03	Środa	Siłownia	90											Ręce + core	Fizjoterapia #25		
		2021-11-05	Piątek	Rower	65		141	168	83	256		59	497	24,3	26	4xZoo	Fizjo ćwiczenia - 50min		
		2021-11-05	Piątek	Siłownia	45											Rehabilitacja			
		2021-11-05	Piątek	Siłownia	85											Ręce + core			
		2021-11-06	Sobota	Rower	130		145	181	85	271		136	912	28,2	60	Tempo po górkach			
		2021-11-06	Sobota	Siłownia	30											Rehabilitacja			
		2021-11-07	Niedziela	Góry	160								773		8	Szczebel	Od początku dnia całkiem spoko, podczas schodzenia, pod koniec już słabo		
		2021-11-08	Poniedziałek	Siłownia	90											Nogi
		2021-11-08	Poniedziałek	Siłownia	30	15										Rehabilitacja			
		2021-11-09	Wtorek	Siłownia	40											Rehabilitacja + trucht (1300m)	1.3km/9min/7:00, Pod koniec już słabo		
		2021-11-09	Wtorek	Pływanie	45										1400	10x100 co 5 oddech			
		2021-11-10	Środa	Siłownia	65											Ręce + core			
		2021-11-10	Środa	Siłownia	30											Rehabilitacja			
		2021-11-11	Czwartek	Rower	210	20	145	171	87	252		190	1396	29,2	101	Tempo po górkach	Od początku bardzo słaby dzień, wysokie tętno, brak mocy		
		2021-11-12	Piątek	Siłownia	50											Rehabilitacja + trucht (1800m)	1.8km/13min/7:00, po bieganiu prawie w ogóle nie czuję stopy i chodzę normalnie		
		2021-11-13	Sobota	Rower	160	10	143	176	84	267		162	1379	28,3	75	Podjazdy	W ogóle nie czuję stopy na rowerze		
		2021-11-14	Niedziela	Siłownia	55											Rehabilitacja + trucht (2300m)	2.3km/15min/6:32, 		
		2021-11-15	Poniedziałek	Siłownia	70											Ręce + core	Fizjoterapia #26
		2021-11-16	Wtorek	Siłownia	55	90										Rehabilitacja + trucht (2500m)	2.5km/18min/7:00, Dzisiaj jest gorzej niż ostatnio		
		2021-11-17	Środa	Siłownia	65											Nogi			
		2021-11-17	Środa	Siłownia	30											Rehabilitacja			
		2021-11-18	Czwartek	Siłownia	50											Rehabilitacja + trucht (3000m)	3km/19min/6:17, Dużo lepiej niż ostatnio, mniej czuję stopę, więcej dynamiki, wyższe tempo		
		2021-11-19	Piątek	Siłownia	65											Ręce + core			
		2021-11-20	Sobota	Siłownia	55											Rehabilitacja + trucht (3300m)	3.3km/21min/6:30, dzisiaj cały dzień słabo, boli mnie stopa od początku biegu, bardzo ciężko		
		2021-11-21	Niedziela	Rower	140		143	171	85	259		136	1019	27,3	64	Po górkach	Przeziębiony		
		2021-11-21	Niedziela	Siłownia	30											Rehabilitacja	Dzisiaj zdecydowanie lepiej niż wczoraj, najlepiej wykonywane ćwiczenia od początku		
		2021-11-22	Poniedziałek	Siłownia	70											Ręce + core	Fizjoterapia #27, bardzo bolesna wizyta
		2021-11-23	Wtorek	Siłownia	55	120										Rehabilitacja + trucht (3600m)	3.6km/22min/6:12, trochę lepiej niż ostatnio, ale czuję stopę po wczorajszej fizjo		
		2021-11-24	Środa	Siłownia	25											Rehabilitacja	Czuję stopę po ostatniej fizjoterapi		
		2021-11-24	Środa	Siłownia	70	15										Nogi			
		2021-11-25	Czwartek	Rower	105	20	143	168	85	269		109	1001	23,4	41	8xZoo			
		2021-11-25	Czwartek	Siłownia	45											Rehabilitacja + trucht (4100m)	4.1km/25min/6:05, czuję stopę cały dystans, pierwsze 2 km bardziej po wewnętrznej stronie, a później po zewnętrznej		
		2021-11-27	Sobota	Siłownia	50											Rehabilitacja + trucht (4600m)	4.6km/26min/5:45, pierwsza połowa całkiem ok, potem trochę gorzej, w piątek Fizjoterapia #28		
		2021-11-28	Niedziela	Siłownia	30											Rehabilitacja			
		2021-11-28	Niedziela	Siłownia	60											Nogi	Trochę czuję stopę po wczoraj		
		2021-11-29	Poniedziałek	Siłownia	70											Ręce + core
		2021-11-29	Poniedziałek	Siłownia	30											Rehabilitacja	Bardzo dobre ćwiczenia, czuję moc podczas podskoków na jednej nodze		
		2021-11-30	Wtorek	Siłownia	20											Rehabilitacja			
		2021-11-30	Wtorek	Bieganie	30	15							8	05:30	5.1	Rehabilitacja - trucht	3.5km czuję po lewej stronie, czasami mocne pieczenie, potem nie czuję już nic, najlepsze bieganie dotychczas		
		2021-12-01	Środa	Bieganie	35		136	147					8	05:28	5.7	Rehabilitacja - trucht	Czuję stopę po wczoraj, inaczej niż wcześniej - po wewnętrznej stronie od tyłu		
		2021-12-01	Środa	Siłownia	20											Rehabilitacja			
		2021-12-01	Środa	Siłownia	60	20										Nogi	Bardzo mocno zmęczyłem dziś stopę		
		2021-12-02	Czwartek	Rower	75		139	165	84	255		70	613	23,1	29	5xZoo	Fizjoterapia #29, dzisiaj czuję stopę inaczej - ciągnie mnie u góry kostki jakby przeciążeniowo, po fizjo jest lepiej		
		2021-12-03	Piątek	Rower	95	120	138	161	85	268		96	853	23,3	36	7xZoo	Dużo wyższa moc przy niższym tętnie		
		2021-12-04	Sobota	Siłownia	25											Rehabilitacja			
		2021-12-04	Sobota	Bieganie	40		140	166					188	05:57	6.4	Rehabilitacja - trucht - pod kopiec	Czuję głównie po zewnętrznej stronie i na górze kostki po wewnętrznej		
		2021-12-05	Niedziela	Siłownia	75											Nogi + Rehabilitacja	Po mierzeniu butów skiturowych (2x1.5h) jest lepiej. Na ćwiczeniu z wykrokiem najlepiej jak do tej pory, dużo lepiej niż we środę, prawie nie czuję stopy, bardzo dobry zakres.		
		2021-12-06	Poniedziałek	Siłownia	70											Ręce + core	Od początku dnia jest na prawdę dobrze, mierzenie butów skiturowych bezbolesne (prawie 4h, pod koniec już nic nie czuję)
		2021-12-06	Poniedziałek	Siłownia	30	15										Rehabilitacja			
		2021-12-07	Wtorek	Siłownia	10											Rehabilitacja			
		2021-12-07	Wtorek	Bieganie	45	20	142	163					190	05:54	7,2	Rehabilitacja - trucht - pod kopiec	Najlepsze bieganie od operacji, prawie nic nie czuję, pod koniec (6km) lekkie ukłucia z tyłu pięty, bardziej po prawej stronie		
		2021-12-08	Środa	Siłownia	20											Rehabilitacja	W butach skiturowych 4h, trochę czuję stopę na treningu		
		2021-12-08	Środa	Siłownia	70	20										Nogi	Bardzo mocno zmęczyłem dziś stopę		
		2021-12-09	Czwartek	Siłownia	30	120										Rehabilitacja	Trochę przemęczyłem stopę		
		2021-12-10	Piątek	Siłownia	35											Ręce + core			
		2021-12-11	Sobota	Siłownia	20											Ręce + core	Mierzyłem buty skiturowe prawie 3h, ogólnie słabo		
		2021-12-11	Sobota	Bieganie	45	20	141	149					95	05:36	8	Rehabilitacja - trucht	Czuję stopę przez cały dystans, czuję pieczenie w okolicach blizny po prawej, czuję całą stopę, po bieganiu raczej kiepsko		
		2021-12-11	Sobota	Pływanie	20	40									900	3x300m + sauna			
		2021-12-13	Poniedziałek	Siłownia	20											Rehabilitacja	Dzisiaj ogólnie kiepsko ze stopą, wczoraj jeszcze gorzej
		2021-12-13	Poniedziałek	Siłownia	75	20										Nogi			
		2021-12-14	Wtorek	Siłownia	20											Rehabilitacja	Rehabilitacja #30		
		2021-12-14	Wtorek	Bieganie	45		144	166					191	05:33	8.1	Rehabilitacja - trucht - pod kopiec	Do 4km czuję tylko na górze kostki, potem podczas zbiegania nic nie czuję i potem znowu na górze kostki po wewnętrznej. Po zewnętrznej stronie prawie nic nie czuję.		
		2021-12-15	Środa	Siłownia	75	100										Ręce + core			
		2021-12-19	Niedziela	Siłownia	30											Rehabilitacja	Po kilku dniach choroby i odpoczynku prawie w ogóle nie czułem już stopy, po ćwiczeniach troszkę gorzej		
